date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:54	4270/4270	---M-Z	200	added ('OK')	text/html	etag:%2210ae-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/spim.html	(from )
18:51:55	208/208	---M-Z	200	added ('OK')	text/plain	etag:%22141-4af29f2cec640-gzip%22	http://www.doc.ic.ac.uk/robots.txt		(from )
18:51:55	1013/1013	---M--	200	added ('OK')	text/css	etag:%223f5-464d55bee5400%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.css	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/spim.css	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:51:56	5132/5132	---M-Z	200	added ('OK')	text/html	etag:%22140c-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node1.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node1.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:51:57	299/299	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2016:51:57%20GMT	http://www.doc.ic.ac.uk/usr/share/latex2html/icons/next.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/usr/share/latex2html/icons/next.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:51:58	299/299	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2016:51:58%20GMT	http://www.doc.ic.ac.uk/usr/share/latex2html/icons/up_g.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/usr/share/latex2html/icons/up_g.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:51:59	301/301	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2016:51:59%20GMT	http://www.doc.ic.ac.uk/usr/share/latex2html/icons/prev_g.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/usr/share/latex2html/icons/prev_g.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:00	2980/2980	---M-Z	200	added ('OK')	text/html	etag:%22ba4-464d55bdf11c0-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/footnode.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/footnode.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:01	335/335	---M--	200	added ('OK')	image/png	etag:%2214f-464d55bdf11c0%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/img1.png	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/img1.png	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:02	4436/4436	---M-Z	200	added ('OK')	text/html	etag:%221154-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node2.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node2.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:03	6379/6379	---M-Z	200	added ('OK')	text/html	etag:%2218eb-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node3.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node3.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
18:52:04	5711/5711	---M-Z	200	added ('OK')	text/html	etag:%22164f-464d55bee5400-gzip%22	http://www.doc.ic.ac.uk/lab/secondyear/spim/node4.html	/home/bruno/code/assembly/mips/doc/reference/www.doc.ic.ac.uk/lab/secondyear/spim/node4.html	(from http://www.doc.ic.ac.uk/lab/secondyear/spim/spim.html)
